Departure Time,Dest_1,Dest_2,Dest_3,Dest_4,Dest_5
2020-02-12 08:10,45.0,54.0,50.0,50.0,49.0
2020-02-12 11:10,51.0,61.0,57.0,60.0,58.0
2020-02-12 21:10,71.0,,,,
2020-02-16 21:10,71.0,,,,
2020-02-16 09:10,51.0,60.0,57.0,60.0,60.0
2020-02-16 10:10,52.0,60.0,58.0,62.0,60.0
2020-02-16 08:10,45.0,77.0,70.0,51.0,67.0
2020-02-16 22:10,117.0,,,,
2020-02-12 22:10,117.0,,,,
2020-02-16 18:10,45.0,76.0,71.0,51.0,64.0
2020-02-16 19:10,45.0,77.0,70.0,51.0,65.0
2020-02-16 20:10,45.0,77.0,70.0,52.0,68.0
2020-02-16 12:10,51.0,86.0,81.0,59.0,75.0
2020-02-16 14:10,52.0,87.0,80.0,58.0,74.0
2020-02-16 15:10,46.0,77.0,69.0,51.0,66.0
2020-02-16 16:10,45.0,77.0,69.0,52.0,65.0
2020-02-16 16:45,45.0,77.0,70.0,52.0,65.0
2020-02-12 20:10,45.0,77.0,70.0,51.0,67.0
2020-02-12 19:10,45.0,77.0,70.0,51.0,65.0
2020-02-12 16:10,45.0,77.0,70.0,51.0,65.0
2020-02-12 15:10,45.0,76.0,70.0,51.0,66.0
2020-02-12 14:10,52.0,86.0,81.0,57.0,73.0
2020-02-12 13:10,51.0,88.0,79.0,59.0,75.0
2020-02-12 12:10,51.0,88.0,80.0,56.0,76.0
2020-02-12 18:10,46.0,78.0,70.0,52.0,66.0
2020-02-16 13:10,50.0,87.0,80.0,57.0,77.0
2020-02-16 13:10,44.0,49.0,90.0,82.0,82.0
2020-02-16 17:10,39.0,42.0,82.0,72.0,71.0
